#T	<E>/N	<M>/N	chi/N	C/N
1.0801	-1.21216	0.74196	0.762307	4.15112
1.0901	-1.20227	0.7366	0.785505	4.11181
1.1001	-1.18546	0.72888	0.820679	4.06386
1.1101	-1.1717	0.721864	0.835219	3.96987
1.1201	-1.1669	0.718456	0.857413	4.01209
1.1301	-1.16176	0.714432	0.886853	4.02979
1.1401	-1.14213	0.704856	0.916855	3.90879
1.1501	-1.13653	0.704976	0.887343	3.92349
1.1601	-1.1319	0.703	0.861256	3.69243
1.1701	-1.12842	0.701632	0.874576	3.79131
1.1801	-1.11336	0.69196	0.903266	3.69747
1.1901	-1.1149	0.693432	0.881957	3.57419
1.2001	-1.10562	0.6896	0.880753	3.49609
1.2101	-1.09939	0.685088	0.908243	3.46595
1.2201	-1.08579	0.677624	0.929238	3.44947
1.2301	-1.0864	0.675552	0.94079	3.40631
1.2401	-1.08168	0.674584	0.912432	3.2725
1.2501	-1.0621	0.664	0.957978	3.28653
1.2601	-1.0611	0.664472	0.925238	3.15858
1.2701	-1.04742	0.655752	0.972702	3.20011
1.2801	-1.04731	0.65636	0.957548	3.16904
1.2901	-1.04133	0.652288	0.972626	3.16102
1.3001	-1.03651	0.649584	0.984693	3.12504
1.3101	-1.04334	0.651936	0.940745	2.97025
1.3201	-1.03082	0.649552	0.911682	2.89782
1.3301	-1.02621	0.641184	0.996663	3.04486
1.3401	-1.02136	0.638192	0.996784	2.86315
1.3501	-1.01947	0.639512	0.954023	2.77452
1.3601	-1.00736	0.63364	0.960174	2.79273
1.3701	-0.990832	0.621448	1.008	2.76244
1.3801	-0.985056	0.618376	0.985962	2.69164
1.3901	-0.992656	0.61932	1.00134	2.66056
1.4001	-0.982176	0.61584	0.987403	2.61507
1.4101	-0.976672	0.614456	0.966791	2.57455
1.4201	-0.968208	0.609064	0.979724	2.4815
1.4301	-0.96768	0.606368	0.992341	2.51261
1.4401	-0.963696	0.605736	0.97275	2.41364
1.4501	-0.951728	0.59832	0.988065	2.42321
1.4601	-0.955392	0.599224	0.997806	2.438
1.4701	-0.956176	0.600888	0.958931	2.34929
1.4801	-0.94696	0.592904	0.993277	2.31319
1.4901	-0.937056	0.588008	0.976969	2.24117
1.5001	-0.931904	0.582864	0.996789	2.23144
1.5101	-0.929888	0.583424	0.972383	2.17078
1.5201	-0.934656	0.587872	0.959707	2.225
1.5301	-0.924272	0.579712	0.965217	2.1478
1.5401	-0.929072	0.582168	0.961498	2.15143
1.5501	-0.916624	0.573768	0.978701	2.1209
1.5601	-0.909056	0.566952	0.971184	1.96788
1.5701	-0.909408	0.566896	0.975955	1.98459
1.5801	-0.900864	0.565336	0.96518	1.96723
1.5901	-0.88976	0.55464	0.988266	1.92213
1.6001	-0.890304	0.557648	0.963593	1.90982
1.6101	-0.894768	0.560064	0.958529	1.90472
