#T	<E>/N	<M>/N	chi/N	C/N
1.0801	-1.11859	0.740888	0.47756	3.65799
1.0901	-1.12678	0.740752	0.484699	3.49095
1.1001	-1.08584	0.726672	0.539797	3.78992
1.1101	-1.10155	0.729808	0.539853	3.60057
1.1201	-1.08411	0.725088	0.510348	3.46596
1.1301	-1.07154	0.720408	0.523504	3.43694
1.1401	-1.0588	0.71572	0.520395	3.34542
1.1501	-1.0537	0.712632	0.544386	3.41513
1.1601	-1.05568	0.711008	0.530377	3.1732
1.1701	-1.0313	0.704104	0.530405	3.16259
1.1801	-1.02574	0.700472	0.534275	3.16938
1.1901	-1.00981	0.694368	0.564355	3.24076
1.2001	-1.01179	0.692632	0.577601	3.12402
1.2101	-1.00067	0.687008	0.581866	3.07975
1.2201	-0.98864	0.68444	0.591823	3.04795
1.2301	-0.99128	0.682672	0.580387	2.93423
1.2401	-0.977568	0.678032	0.575256	2.84356
1.2501	-0.975104	0.675376	0.594443	2.8309
1.2601	-0.958496	0.664264	0.64734	2.89434
1.2701	-0.949472	0.662232	0.6308	2.86408
1.2801	-0.951344	0.66648	0.606208	2.78256
1.2901	-0.936768	0.65848	0.599152	2.64255
1.3001	-0.929456	0.652416	0.630488	2.6775
1.3101	-0.919952	0.650856	0.613106	2.65699
1.3201	-0.914176	0.6456	0.644836	2.56489
1.3301	-0.902192	0.640832	0.651487	2.58865
1.3401	-0.90472	0.64036	0.651507	2.5458
1.3501	-0.894432	0.638288	0.621055	2.42446
1.3601	-0.878608	0.627352	0.66214	2.48905
1.3701	-0.87856	0.625768	0.678812	2.46768
1.3801	-0.878176	0.625384	0.663328	2.39171
1.3901	-0.867488	0.62144	0.667759	2.31126
1.4001	-0.86456	0.613928	0.707285	2.3467
1.4101	-0.860624	0.61504	0.682012	2.20282
1.4201	-0.855312	0.60908	0.694466	2.22448
1.4301	-0.851584	0.608752	0.67858	2.15604
1.4401	-0.83544	0.606592	0.651445	2.13388
1.4501	-0.84088	0.605456	0.678149	2.13912
1.4601	-0.84032	0.601208	0.668083	2.09983
1.4701	-0.833568	0.59868	0.699232	2.14127
1.4801	-0.818928	0.591808	0.686236	2.05349
1.4901	-0.818	0.588152	0.710585	2.08025
1.5001	-0.806528	0.580216	0.713077	1.97172
1.5101	-0.793344	0.577104	0.700657	1.96127
1.5201	-0.774336	0.5654	0.743093	2.00773
1.5301	-0.791728	0.571144	0.730702	1.95305
1.5401	-0.783904	0.567648	0.705997	1.80391
1.5501	-0.783904	0.569176	0.713455	1.86712
1.5601	-0.785312	0.567608	0.697879	1.74804
1.5701	-0.77528	0.561088	0.754929	1.91042
1.5801	-0.7652	0.55372	0.722652	1.72876
1.5901	-0.754336	0.549664	0.718174	1.65485
1.6001	-0.76456	0.549904	0.721762	1.67982
1.6101	-0.752	0.545504	0.729174	1.65099
1.6201	-0.760336	0.549216	0.719287	1.67411
1.6301	-0.757168	0.543088	0.736947	1.68374
1.6401	-0.740656	0.53584	0.745437	1.65791
1.6501	-0.738304	0.534176	0.734772	1.59573
1.6601	-0.732928	0.53648	0.703414	1.56504
1.6701	-0.736528	0.5328	0.71578	1.55052
1.6801	-0.718	0.525264	0.712536	1.49038
1.6901	-0.740992	0.5314	0.744533	1.6309
1.7001	-0.726144	0.523304	0.732681	1.49032
1.7101	-0.715216	0.517928	0.713692	1.45904
1.7201	-0.71248	0.51344	0.721956	1.38991
1.7301	-0.70976	0.51504	0.715941	1.4552
1.7401	-0.706	0.503712	0.736063	1.42376
1.7501	-0.70352	0.507752	0.747428	1.43481
1.7601	-0.693664	0.50492	0.698394	1.393
1.7701	-0.694832	0.505648	0.704106	1.34688
1.7801	-0.697088	0.500184	0.715442	1.31696
1.7901	-0.682896	0.494224	0.719172	1.29602
1.8001	-0.682016	0.489968	0.704323	1.25
1.8101	-0.689472	0.495144	0.704895	1.26146
1.8201	-0.68664	0.483704	0.751278	1.28354
1.8301	-0.667968	0.485272	0.696605	1.2358
1.8401	-0.685216	0.486288	0.743109	1.29274
1.8501	-0.662608	0.479608	0.730821	1.27078
1.8601	-0.663104	0.478432	0.683405	1.16902
1.8701	-0.659792	0.474368	0.712128	1.20302
1.8801	-0.668944	0.47736	0.685913	1.13633
1.8901	-0.668736	0.47704	0.727431	1.21328
1.9001	-0.658928	0.471168	0.692849	1.14298
1.9101	-0.665568	0.476384	0.678679	1.11604
1.9201	-0.65592	0.46668	0.707103	1.16549
1.9301	-0.657296	0.462672	0.69515	1.0729
1.9401	-0.6416	0.454544	0.705147	1.0619
1.9501	-0.655056	0.469768	0.679222	1.09554
1.9601	-0.649872	0.455384	0.699109	1.03649
1.9701	-0.642224	0.45572	0.686185	1.02241
1.9801	-0.645536	0.45352	0.66864	0.98083
1.9901	-0.637936	0.455664	0.652	0.999928
2.0001	-0.641408	0.449336	0.686644	1.03124
2.0101	-0.641824	0.450864	0.680512	0.977632
2.0201	-0.637216	0.44688	0.696996	1.01048
2.0301	-0.633984	0.446168	0.652985	0.918852
2.0401	-0.636608	0.450176	0.658605	0.949473
2.0501	-0.623888	0.440192	0.673621	0.957152
2.0601	-0.612496	0.438592	0.664161	0.947066
2.0701	-0.61952	0.432928	0.659275	0.916756
2.0801	-0.6148	0.43196	0.65783	0.863851
2.0901	-0.618304	0.434664	0.642913	0.867826
2.1001	-0.60152	0.423504	0.630727	0.836704
2.1101	-0.59232	0.417792	0.641724	0.843085
2.1201	-0.605584	0.428512	0.63547	0.843542
2.1301	-0.600096	0.429336	0.61363	0.832349
2.1401	-0.6044	0.427392	0.63605	0.855791
2.1501	-0.613408	0.426056	0.635231	0.859379
2.1601	-0.589664	0.420464	0.600992	0.798201
2.1701	-0.600752	0.41912	0.61277	0.784176
2.1801	-0.594512	0.412152	0.614396	0.797163
2.1901	-0.60496	0.416736	0.620277	0.771201
2.2001	-0.58984	0.412368	0.613608	0.737588
2.2101	-0.605344	0.417136	0.609834	0.74117
2.2201	-0.599936	0.412328	0.602658	0.735991
2.2301	-0.593984	0.405424	0.605892	0.718233
2.2401	-0.587664	0.411736	0.572837	0.731492
2.2501	-0.584832	0.40648	0.59219	0.758971
2.2601	-0.585312	0.405296	0.574701	0.658784
2.2701	-0.596656	0.407568	0.598391	0.72098
2.2801	-0.586688	0.403336	0.594462	0.708978
2.2901	-0.5772	0.395944	0.599801	0.695571
2.3001	-0.579184	0.401424	0.572489	0.700833
2.3101	-0.58608	0.402072	0.585473	0.694503
2.3201	-0.576016	0.398832	0.560871	0.650179
2.3301	-0.571136	0.391728	0.569734	0.677107
2.3401	-0.563376	0.38728	0.576626	0.68462
2.3501	-0.56544	0.38888	0.564529	0.656857
2.3601	-0.560848	0.386224	0.557871	0.621409
2.3701	-0.57352	0.387448	0.569008	0.626919
2.3801	-0.563072	0.38508	0.538963	0.598306
2.3901	-0.566992	0.386968	0.536283	0.586113
2.4001	-0.566976	0.387328	0.537358	0.58214
2.4101	-0.564592	0.388824	0.546001	0.599375
2.4201	-0.553632	0.376632	0.529332	0.570429
2.4301	-0.552464	0.372824	0.537539	0.595251
2.4401	-0.555712	0.383128	0.540078	0.586147
2.4501	-0.544624	0.371896	0.53362	0.564419
2.4601	-0.553472	0.371984	0.524204	0.551853
2.4701	-0.559472	0.3746	0.522097	0.549927
2.4801	-0.545648	0.370688	0.519769	0.552656
2.4901	-0.565968	0.377336	0.545452	0.568792
2.5001	-0.550336	0.376592	0.515114	0.531204
2.5101	-0.548688	0.368608	0.504855	0.540261
2.5201	-0.544384	0.369568	0.50085	0.49964
2.5301	-0.543184	0.376584	0.512595	0.543806
2.5401	-0.539328	0.369824	0.498092	0.511109
2.5501	-0.555648	0.372976	0.515738	0.539325
2.5601	-0.543072	0.36676	0.513765	0.541033
2.5701	-0.549952	0.360904	0.475809	0.456455
2.5801	-0.54432	0.361624	0.498566	0.506238
2.5901	-0.527152	0.35748	0.481458	0.488575
2.6001	-0.53688	0.360016	0.49048	0.488618
2.6101	-0.530912	0.350416	0.481566	0.465897
2.6201	-0.538752	0.357968	0.463137	0.462927
2.6301	-0.529168	0.356392	0.490778	0.483895
2.6401	-0.54424	0.365176	0.486873	0.472177
2.6501	-0.543536	0.363296	0.475508	0.465915
2.6601	-0.529088	0.351064	0.456754	0.438176
2.6701	-0.524416	0.356704	0.45651	0.43557
2.6801	-0.530976	0.360048	0.475923	0.44893
2.6901	-0.532112	0.350928	0.47277	0.44247
2.7001	-0.511696	0.345224	0.447746	0.424033
2.7101	-0.516016	0.350704	0.457211	0.449384
2.7201	-0.515824	0.346224	0.43424	0.404198
2.7301	-0.517264	0.35148	0.454334	0.412241
2.7401	-0.519936	0.344648	0.4352	0.410357
2.7501	-0.531136	0.350312	0.455247	0.409372
2.7601	-0.529856	0.347904	0.433905	0.413085
2.7701	-0.518096	0.348256	0.435326	0.398382
2.7801	-0.513184	0.345464	0.45242	0.44743
2.7901	-0.50672	0.338352	0.444014	0.40744
2.8001	-0.51072	0.346808	0.427408	0.400701
2.8101	-0.50936	0.338248	0.420937	0.390057
2.8201	-0.5092	0.343056	0.433525	0.400876
2.8301	-0.498816	0.337176	0.400727	0.368282
2.8401	-0.512432	0.34756	0.42958	0.390539
2.8501	-0.515584	0.345944	0.433289	0.38582
2.8601	-0.518768	0.334448	0.416812	0.362265
2.8701	-0.510208	0.338784	0.418609	0.362422
2.8801	-0.505792	0.33516	0.425624	0.38823
2.8901	-0.4964	0.339264	0.400286	0.370812
2.9001	-0.502976	0.332736	0.402328	0.357126
2.9101	-0.506192	0.332864	0.411672	0.363368
2.9201	-0.505312	0.33208	0.402562	0.345075
2.9301	-0.513776	0.33916	0.415071	0.365062
2.9401	-0.493136	0.330032	0.3878	0.349539
2.9501	-0.489504	0.331064	0.378915	0.334231
2.9601	-0.49048	0.330584	0.402824	0.355879
2.9701	-0.508672	0.336544	0.405882	0.357083
2.9801	-0.497072	0.332816	0.397567	0.354671
2.9901	-0.493664	0.326608	0.392879	0.352181
3.0001	-0.492688	0.32956	0.389593	0.335744
3.0101	-0.514832	0.32936	0.385046	0.314946
3.0201	-0.503968	0.330688	0.383593	0.32239
3.0301	-0.488448	0.31988	0.370427	0.310176
3.0401	-0.487344	0.325432	0.378861	0.330359
3.0501	-0.493232	0.319184	0.374865	0.322037
3.0601	-0.49536	0.321128	0.37764	0.320265
3.0701	-0.469424	0.317144	0.362991	0.307647
3.0801	-0.491344	0.322464	0.380136	0.307025
3.0901	-0.479408	0.319272	0.364359	0.30712
3.1001	-0.494704	0.322864	0.372381	0.303661
3.1101	-0.479264	0.314312	0.36211	0.301078
3.1201	-0.47904	0.314368	0.352811	0.290222
3.1301	-0.490064	0.316272	0.362203	0.290244
3.1401	-0.478448	0.314624	0.354928	0.28273
3.1501	-0.477568	0.315368	0.349238	0.289133
3.1601	-0.4736	0.309528	0.336124	0.275503
3.1701	-0.464912	0.315344	0.343843	0.291695
3.1801	-0.478224	0.318136	0.341738	0.284533
3.1901	-0.47784	0.311848	0.339932	0.260787
3.2001	-0.486752	0.31408	0.347635	0.271872
3.2101	-0.484416	0.316072	0.359226	0.291981
3.2201	-0.493312	0.320256	0.354205	0.283211
3.2301	-0.477296	0.309288	0.335498	0.266949
3.2401	-0.484576	0.314472	0.333788	0.25642
3.2501	-0.474256	0.308584	0.333205	0.246551
3.2601	-0.4692	0.308696	0.324556	0.252408
3.2701	-0.467408	0.306656	0.330127	0.257795
3.2801	-0.472912	0.31376	0.338376	0.264626
3.2901	-0.476848	0.317344	0.33438	0.259684
3.3001	-0.450592	0.301944	0.316008	0.249239
3.3101	-0.472288	0.301576	0.330787	0.255987
3.3201	-0.45968	0.308776	0.313355	0.245958
3.3301	-0.466592	0.309736	0.332432	0.254243
3.3401	-0.463584	0.302152	0.310631	0.243251
3.3501	-0.46864	0.30016	0.313863	0.22268
3.3601	-0.46312	0.304928	0.322481	0.247053
3.3701	-0.460304	0.30184	0.309853	0.238882
3.3801	-0.46392	0.30752	0.32041	0.244924
3.3901	-0.453392	0.298352	0.3156	0.246568
3.4001	-0.463712	0.307816	0.328781	0.249753
3.4101	-0.459984	0.303832	0.305002	0.229596
3.4201	-0.45016	0.303136	0.315835	0.238884
3.4301	-0.4668	0.30464	0.299977	0.222512
3.4401	-0.442832	0.296488	0.287937	0.219254
3.4501	-0.462896	0.307176	0.296316	0.221153
3.4601	-0.458224	0.297752	0.300637	0.225709
3.4701	-0.448816	0.301776	0.311576	0.24133
3.4801	-0.452176	0.301904	0.297556	0.21631
3.4901	-0.433792	0.295272	0.285665	0.222062
3.5001	-0.449296	0.298232	0.29748	0.215967
3.5101	-0.452096	0.297928	0.299902	0.233023
3.5201	-0.451168	0.29592	0.301364	0.217494
3.5301	-0.459648	0.301584	0.291944	0.217275
3.5401	-0.443136	0.297352	0.284279	0.210181
3.5501	-0.446016	0.291136	0.281206	0.206519
3.5601	-0.466064	0.296832	0.303629	0.223576
3.5701	-0.452064	0.29284	0.287236	0.208441
3.5801	-0.45144	0.291288	0.285578	0.209487
3.5901	-0.448	0.287248	0.280335	0.20758
3.6001	-0.443472	0.295144	0.275942	0.193583
3.6101	-0.434	0.290192	0.268428	0.200697
3.6201	-0.442624	0.293864	0.273427	0.198529
3.6301	-0.443808	0.29288	0.278889	0.206198
3.6401	-0.453648	0.29792	0.285532	0.209532
3.6501	-0.45016	0.293824	0.280196	0.199198
