#T	<E>/N	<M>/N	chi/N	C/N
1.0001	-1.99624	0.999032	0.00216836	0.0315762
1.0101	-1.99709	0.999256	0.00161782	0.0238792
1.0201	-1.99635	0.999072	0.00198654	0.0294476
1.0301	-1.99576	0.998912	0.00239434	0.0342572
1.0401	-1.99645	0.999096	0.00184172	0.0266855
1.0501	-1.9952	0.99876	0.0027517	0.0372029
1.0601	-1.99446	0.998584	0.00286565	0.0400937
1.0701	-1.9955	0.998816	0.00283801	0.0343779
1.0801	-1.99558	0.998864	0.00231065	0.0311812
1.0901	-1.994	0.998432	0.00340752	0.042598
1.1001	-1.9935	0.998328	0.00341252	0.0449249
1.1101	-1.99379	0.998392	0.00332885	0.0426354
1.1201	-1.99184	0.997888	0.00441433	0.056418
1.1301	-1.99229	0.998016	0.00382054	0.049249
1.1401	-1.99218	0.998	0.00375757	0.0489954
1.1501	-1.98965	0.997312	0.00565809	0.0679873
1.1601	-1.99189	0.997928	0.00381059	0.048662
1.1701	-1.99096	0.99764	0.00473529	0.0555833
1.1801	-1.99091	0.9976	0.00494873	0.0566977
1.1901	-1.9865	0.996424	0.00770381	0.0824556
1.2001	-1.988	0.996872	0.00615565	0.0712659
1.2101	-1.98733	0.996664	0.00655299	0.0730441
1.2201	-1.98734	0.99668	0.00652769	0.0725893
1.2301	-1.98402	0.995856	0.00763733	0.0884494
1.2401	-1.98384	0.995704	0.00867237	0.0894753
1.2501	-1.98402	0.995712	0.00994827	0.0917849
1.2601	-1.98181	0.995176	0.00975972	0.100028
1.2701	-1.98453	0.995888	0.00853577	0.0849612
1.2801	-1.98214	0.995344	0.00855093	0.0924642
1.2901	-1.97952	0.994624	0.0105523	0.108137
1.3001	-1.98021	0.99484	0.00927187	0.0974613
1.3101	-1.97602	0.993656	0.0123119	0.122167
1.3201	-1.97902	0.994408	0.0108372	0.103754
1.3301	-1.97594	0.993552	0.0126912	0.118647
1.3401	-1.97565	0.993616	0.0110358	0.112769
1.3501	-1.97616	0.993608	0.0131683	0.11671
1.3601	-1.97354	0.992968	0.0133606	0.127816
1.3701	-1.97021	0.992032	0.015868	0.140579
1.3801	-1.97019	0.992088	0.0142504	0.134336
1.3901	-1.97101	0.992352	0.0133355	0.127898
1.4001	-1.96923	0.991664	0.0164265	0.139709
1.4101	-1.96901	0.991688	0.0154207	0.136338
1.4201	-1.96443	0.990328	0.0190278	0.160035
1.4301	-1.96435	0.990456	0.0174161	0.151258
1.4401	-1.9599	0.989016	0.0214261	0.169236
1.4501	-1.9613	0.989472	0.0214806	0.165079
1.4601	-1.95712	0.98756	0.0366572	0.190261
1.4701	-1.95646	0.988104	0.0235944	0.184983
1.4801	-1.95482	0.987808	0.0219849	0.179099
1.4901	-1.95158	0.986072	0.0383318	0.213132
1.5001	-1.95094	0.986456	0.0267755	0.194476
1.5101	-1.95171	0.98676	0.0252285	0.188182
1.5201	-1.94941	0.986208	0.0247224	0.193497
1.5301	-1.94322	0.984288	0.0303486	0.224909
1.5401	-1.94003	0.982336	0.0534664	0.254425
1.5501	-1.94138	0.983568	0.0333409	0.221381
1.5601	-1.93896	0.982952	0.0343863	0.231176
1.5701	-1.9405	0.983496	0.0304633	0.216774
1.5801	-1.93435	0.981568	0.0362018	0.241406
1.5901	-1.9284	0.979584	0.0456498	0.256728
1.6001	-1.93186	0.980752	0.0426285	0.245397
1.6101	-1.92669	0.97936	0.0404681	0.2616
1.6201	-1.92291	0.977888	0.047464	0.275989
1.6301	-1.92307	0.97796	0.0471136	0.269377
1.6401	-1.91382	0.97512	0.0534679	0.300573
1.6501	-1.9147	0.97552	0.0516588	0.284482
1.6601	-1.91368	0.974872	0.0552296	0.299674
1.6701	-1.90654	0.972592	0.0665469	0.328377
1.6801	-1.90253	0.970776	0.0740581	0.348774
1.6901	-1.90259	0.971728	0.0606741	0.320749
1.7001	-1.89904	0.97048	0.0625506	0.328784
1.7101	-1.89086	0.967472	0.0752682	0.357514
1.7201	-1.88659	0.965728	0.0877041	0.385764
1.7301	-1.88888	0.966696	0.0814745	0.362837
1.7401	-1.88242	0.965088	0.081205	0.367144
1.7501	-1.87738	0.963112	0.0902611	0.393428
1.7601	-1.88098	0.963576	0.0963947	0.393904
1.7701	-1.87269	0.961736	0.0873468	0.392785
1.7801	-1.86118	0.956312	0.125249	0.450896
1.7901	-1.85923	0.955936	0.121345	0.443532
1.8001	-1.85664	0.955648	0.116086	0.447276
1.8101	-1.85426	0.95388	0.133345	0.459805
1.8201	-1.84589	0.95156	0.128105	0.490253
1.8301	-1.83634	0.947712	0.146231	0.50542
1.8401	-1.84	0.949376	0.138494	0.483123
1.8501	-1.84574	0.953368	0.10481	0.438839
1.8601	-1.83458	0.947888	0.134434	0.489798
1.8701	-1.81822	0.942584	0.146217	0.529194
1.8801	-1.81822	0.940712	0.177154	0.548131
1.8901	-1.82221	0.944464	0.132639	0.49216
1.9001	-1.80352	0.93688	0.169918	0.560272
1.9101	-1.79365	0.93308	0.177915	0.566131
1.9201	-1.80022	0.934816	0.184015	0.564767
1.9301	-1.79789	0.935	0.167398	0.547064
1.9401	-1.78392	0.929048	0.192989	0.598081
1.9501	-1.7899	0.931504	0.184485	0.558038
1.9601	-1.77168	0.92492	0.201665	0.608663
1.9701	-1.7648	0.92244	0.211301	0.61685
1.9801	-1.76762	0.922912	0.216932	0.610086
1.9901	-1.7745	0.92568	0.201394	0.571143
2.0001	-1.74797	0.915624	0.234333	0.660277
2.0101	-1.73408	0.908056	0.279517	0.701466
2.0201	-1.73637	0.909376	0.270637	0.69539
2.0301	-1.72861	0.908032	0.254003	0.661306
2.0401	-1.69499	0.890512	0.357201	0.793389
2.0501	-1.72912	0.90712	0.269964	0.674085
2.0601	-1.70078	0.896184	0.299378	0.721374
2.0701	-1.69774	0.891344	0.350522	0.767287
2.0801	-1.69165	0.891112	0.32087	0.757812
2.0901	-1.68421	0.888344	0.327772	0.762548
2.1001	-1.68155	0.887176	0.336575	0.751966
2.1101	-1.67816	0.88696	0.323369	0.75931
2.1201	-1.65834	0.875416	0.395507	0.820153
2.1301	-1.65275	0.874464	0.380843	0.794589
2.1401	-1.64557	0.869376	0.412374	0.826641
2.1501	-1.63811	0.868904	0.382982	0.807282
2.1601	-1.6288	0.864656	0.403523	0.825685
2.1701	-1.62214	0.86308	0.389679	0.819186
2.1801	-1.62779	0.864464	0.395291	0.799971
2.1901	-1.58467	0.842112	0.494319	0.895502
2.2001	-1.59387	0.848376	0.454564	0.858756
2.2101	-1.59109	0.847192	0.460563	0.862685
2.2201	-1.59154	0.848696	0.436469	0.839675
2.2301	-1.57138	0.837056	0.493097	0.892668
2.2401	-1.55712	0.83312	0.480622	0.87701
2.2501	-1.55605	0.832768	0.479454	0.869835
2.2601	-1.57158	0.841776	0.439776	0.832801
2.2701	-1.54304	0.828792	0.47553	0.885688
2.2801	-1.53046	0.818504	0.532545	0.908695
2.2901	-1.5453	0.825376	0.518558	0.893086
2.3001	-1.51784	0.81476	0.522841	0.888001
2.3101	-1.4839	0.793696	0.615675	0.964325
2.3201	-1.49717	0.805	0.552783	0.90945
2.3301	-1.48174	0.79676	0.567925	0.920026
2.3401	-1.45784	0.78356	0.619007	0.957436
2.3501	-1.48378	0.797168	0.5786	0.924806
2.3601	-1.45309	0.782456	0.616551	0.949774
2.3701	-1.43459	0.772064	0.636507	0.967884
2.3801	-1.44147	0.779912	0.587548	0.901297
2.3901	-1.43051	0.773536	0.604277	0.919558
2.4001	-1.43846	0.778608	0.590942	0.918513
2.4101	-1.42128	0.76852	0.616138	0.910422
2.4201	-1.40565	0.760672	0.635473	0.932111
